"","iter","loglik","sigma","alpha","tau","converge","gene_name","regime","model","param.count","ntips","AIC","AIC_weight"
"1",1,-392.812624254269,0.491648979430739,1e-10,0,NA,"BM1_1","BM1","BM1",3,256,791.625248508537,0.999999999943819
"2",1,-306.862203074958,0.251203720285892,1e-10,0,NA,"BM1_10","BM1","BM1",3,256,619.724406149916,0.999999835169033
"3",1,-363.063969810015,0.389642077280052,1e-10,0,NA,"BM1_11","BM1","BM1",3,256,732.12793962003,0.999999975245123
"4",1,-336.328595554883,0.316243584569219,1e-10,0,NA,"BM1_12","BM1","BM1",3,256,678.657191109766,0.999999999984113
"5",1,-333.585085525864,0.309366641709819,1e-10,0,NA,"BM1_13","BM1","BM1",3,256,673.170171051728,0.999999976018416
"6",1,-510.9415978149,1.23736018118591,1e-10,0,NA,"BM1_14","BM1","BM1",3,256,1027.8831956298,0.999999977206105
"7",1,-361.294533786156,0.3843236314113,1e-10,0,NA,"BM1_15","BM1","BM1",3,256,728.589067572313,0.999999999999933
"8",1,-393.799825875048,0.495383719911258,1e-10,0,NA,"BM1_16","BM1","BM1",3,256,793.599651750097,0.999999999643599
"9",1,-253.417916702584,0.165465303550436,1e-10,0,NA,"BM1_17","BM1","BM1",3,256,512.835833405169,0.999999999999609
"10",1,-269.735569579026,0.18796181425271,1e-10,0,NA,"BM1_18","BM1","BM1",3,256,545.471139158052,0.999999999999912
"11",1,-495.506417865897,1.09665290443019,1e-10,0,NA,"BM1_19","BM1","BM1",3,256,997.012835731793,0.999999987983842
"12",1,-500.875306270778,1.14346221361024,1e-10,0,NA,"BM1_2","BM1","BM1",3,256,1007.75061254156,0.999999999831573
"13",1,-400.647277453117,0.522653344763511,1e-10,0,NA,"BM1_20","BM1","BM1",3,256,807.294554906234,0.999999999942532
"14",1,-503.62863941021,1.16848518216821,1e-10,0,NA,"BM1_21","BM1","BM1",3,256,1013.25727882042,0.999999999998703
"15",1,-263.47994431959,0.178970051662315,1e-10,0,NA,"BM1_22","BM1","BM1",3,256,532.959888639181,0.999999999999942
"16",1,-340.914012610943,0.32777936157133,1e-10,0,NA,"BM1_23","BM1","BM1",3,256,687.828025221885,0.999999999990069
"17",1,-334.077738225915,0.310712843431663,1e-10,0,NA,"BM1_24","BM1","BM1",3,256,674.15547645183,0.999999999944378
"18",1,-479.482035817156,0.967683430677848,1e-10,0,NA,"BM1_25","BM1","BM1",3,256,964.964071634312,0.999999999979131
"19",1,-396.264738012504,0.505022753852501,1e-10,0,NA,"BM1_26","BM1","BM1",3,256,798.529476025008,0.999999999610757
"20",1,-293.510316061467,0.226293778552765,1e-10,0,NA,"BM1_27","BM1","BM1",3,256,593.020632122935,0.999999999998201
"21",1,-414.998678547108,0.584812139553789,1e-10,0,NA,"BM1_28","BM1","BM1",3,256,835.997357094215,0.999999998853506
"22",1,-464.887609098089,0.863201672160342,1e-10,0,NA,"BM1_29","BM1","BM1",3,256,935.775218196179,0.99999996982493
"23",1,-376.675430238963,0.433401624289733,1e-10,0,NA,"BM1_3","BM1","BM1",3,256,759.350860477926,0.99999999999133
"24",1,-478.994676884067,0.963870592594627,1e-10,0,NA,"BM1_30","BM1","BM1",3,256,963.989353768135,0.999999354746308
"25",1,-213.021046600239,0.12069496333445,1e-10,0,NA,"BM1_4","BM1","BM1",3,256,432.042093200478,0.999999999996854
"26",1,-488.097332895272,1.03502655950639,1e-10,0,NA,"BM1_5","BM1","BM1",3,256,982.194665790544,0.999999455728455
"27",1,-287.991566017668,0.216756778389535,1e-10,0,NA,"BM1_6","BM1","BM1",3,256,581.983132035336,0.999999999993554
"28",1,-525.434308904872,1.38521192334843,1e-10,0,NA,"BM1_7","BM1","BM1",3,256,1056.86861780974,0.999999999999342
"29",1,-208.70094469001,0.116672083521805,1e-10,0,NA,"BM1_8","BM1","BM1",3,256,423.40188938002,0.999999999944868
"30",1,-591.382936439004,2.31901032759409,1e-10,0,NA,"BM1_9","BM1","BM1",3,256,1188.76587287801,0.999999995591133
"31",1,-228.380350920895,0.551132528043379,0.771974227626584,0,NA,"OU1_1","OUM","OUM",6,256,468.76070184179,0.508160957997216
"32",1,-258.751655748052,0.616961149471361,0.671708040366245,0,NA,"OU1_10","OUM","OUM",6,256,529.503311496104,0.828486869757819
"33",1,39.3547647124535,0.0168003251400922,1e-10,0,NA,"OU1_11","BM1","BM1",3,256,-72.709529424907,0.999999837817503
